000001	XEROX CORPORATION 
00A0F9	BINTEC COMMUNICATIONS GMBH 
00A0FA	Marconi Communication GmbH 
00A0FB	TORAY ENGINEERING CO., LTD. 
00A0FC	IMAGE SCIENCES, INC. 
00A0FD	SCITEX DIGITAL PRINTING, INC. 
00A0FE	BOSTON TECHNOLOGY, INC. 
00A0FF	TELLABS OPERATIONS, INC. 
00A1DE	ShenZhen ShiHua Technology CO.,LTD 
00A289	Cisco Systems, Inc 
00A2DA	INAT GmbH 
00A2EE	Cisco Systems, Inc 
00A2F5	Guangzhou Yuanyun Network Technology Co.,Ltd 
00A2FF	abatec group AG 
00A38E	Cisco Systems, Inc 
00A3D1	Cisco Systems, Inc 
00A509	WigWag Inc. 
00A5BF	Cisco Systems, Inc 
00A6CA	Cisco Systems, Inc 
00A742	Cisco Systems, Inc 
00A784	ITX security 
00AA00	Intel Corporation 
00AA01	Intel Corporation 
00AA02	Intel Corporation 
00AA3C	OLIVETTI TELECOM SPA (OLTECO) 
00AA6E	Cisco Systems, Inc 
00AA70	LG Electronics 
00ACE0	ARRIS Group, Inc. 
00AD24	D-Link International 
00AD63	Dedicated Micros Malta LTD 
00AECD	Pensando Systems 
00AEFA	Murata Manufacturing Co., Ltd. 
00AF1F	Cisco Systems, Inc 
00B009	Grass Valley, A Belden Brand 
00B017	InfoGear Technology Corp. 
00B019	UTC CCS 
00B01C	Westport Technologies 
00B01E	Rantic Labs, Inc. 
00B02A	ORSYS GmbH 
00B02D	ViaGate Technologies, Inc. 
00B033	OAO Izhevskiy radiozavod 
00B03B	HiQ Networks 
00B048	Marconi Communications Inc. 
00B04A	Cisco Systems, Inc 
00B052	Atheros Communications 
00B064	Cisco Systems, Inc 
00B069	Honewell Oy 
00B06D	Jones Futurex Inc. 
00B080	Mannesmann Ipulsys B.V. 
00B086	LocSoft Limited 
00B08E	Cisco Systems, Inc 
00B091	Transmeta Corp. 
00B094	Alaris, Inc. 
00B09A	Morrow Technologies Corp. 
00B09D	Point Grey Research Inc. 
00B0AC	SIAE-Microelettronica S.p.A. 
00B0AE	Symmetricom 
00B0B3	Xstreamis PLC 
00B0C2	Cisco Systems, Inc 
00B0C7	Tellabs Operations, Inc. 
00B0CE	TECHNOLOGY RESCUE 
00B0D0	Dell Inc. 
00B0DB	Nextcell, Inc. 
00B0DF	Starboard Storage Systems 
00B0E1	Cisco Systems, Inc 
00B0E7	British Federal Ltd. 
00B0EC	EACEM 
00B0EE	Ajile Systems, Inc. 
00B0F0	CALY NETWORKS 
00B0F5	NetWorth Technologies, Inc. 
00B1E3	Cisco Systems, Inc 
00B338	Kontron Design Manufacturing Services (M) Sdn. Bhd 
00B342	MacroSAN Technologies Co., Ltd. 
00B362	Apple, Inc. 
00B4F5	DongGuan Siyoto Electronics Co., Ltd 
00B56D	David Electronics Co., LTD. 
00B5D0	Samsung Electronics Co.,Ltd 
00B5D6	Omnibit Inc. 
00B600	VOIM Co., Ltd. 
00B670	Cisco Systems, Inc 
00B69F	Latch 
00B771	Cisco Systems, Inc 
00B78D	Nanjing Shining Electric Automation Co., Ltd 
00B8B3	Cisco Systems, Inc 
00B8C2	Heights Telecom T ltd 
00B9F6	Shenzhen Super Rich Electronics Co.,Ltd 
00BAC0	Biometric Access Company 
00BB01	OCTOTHORPE CORP. 
00BB3A	Amazon Technologies Inc. 
00BB60	Intel Corporate 
00BB8E	HME Co., Ltd. 
00BBC1	CANON INC. 
00BBF0	UNGERMANN-BASS INC. 
00BC60	Cisco Systems, Inc 
00BD27	Exar Corp. 
00BD3A	Nokia Corporation 
00BD82	Shenzhen YOUHUA Technology Co., Ltd 
00BE3B	HUAWEI TECHNOLOGIES CO.,LTD 
00BE75	Cisco Systems, Inc 
00BE9E	Fiberhome Telecommunication Technologies Co.,LTD 
00BF15	Genetec Inc. 
00BF61	Samsung Electronics Co.,Ltd 
00BF77	Cisco Systems, Inc 
00C000	LANOPTICS, LTD. 
00C001	DIATEK PATIENT MANAGMENT 
00C002	SERCOMM CORPORATION 
00C003	GLOBALNET COMMUNICATIONS 
00C004	JAPAN BUSINESS COMPUTER CO.LTD 
00C005	LIVINGSTON ENTERPRISES, INC. 
00C006	NIPPON AVIONICS CO., LTD. 
00C007	PINNACLE DATA SYSTEMS, INC. 
00C008	SECO SRL 
00C009	KT TECHNOLOGY (S) PTE LTD 
00C00A	MICRO CRAFT 
00C00B	NORCONTROL A.S. 
00C00C	RELIA TECHNOLGIES 
00C00D	ADVANCED LOGIC RESEARCH, INC. 
00C00E	PSITECH, INC. 
00C00F	QUANTUM SOFTWARE SYSTEMS LTD. 
00C010	HIRAKAWA HEWTECH CORP. 
00C011	INTERACTIVE COMPUTING DEVICES 
00C012	NETSPAN CORPORATION 
00C013	NETRIX 
00C014	TELEMATICS CALABASAS INTL,INC 
00C015	NEW MEDIA CORPORATION 
00C016	ELECTRONIC THEATRE CONTROLS 
00C017	Fluke Corporation 
00C018	LANART CORPORATION 
00C019	LEAP TECHNOLOGY, INC. 
00C01A	COROMETRICS MEDICAL SYSTEMS 
00C01B	SOCKET COMMUNICATIONS, INC. 
00C01C	INTERLINK COMMUNICATIONS LTD. 
00C01D	GRAND JUNCTION NETWORKS, INC. 
00C01E	LA FRANCAISE DES JEUX 
00C01F	S.E.R.C.E.L. 
00C020	ARCO ELECTRONIC, CONTROL LTD. 
00C021	NETEXPRESS 
00C022	LASERMASTER TECHNOLOGIES, INC. 
00C023	TUTANKHAMON ELECTRONICS 
00C024	EDEN SISTEMAS DE COMPUTACAO SA 
00C025	DATAPRODUCTS CORPORATION 
00C026	LANS TECHNOLOGY CO., LTD. 
00C027	CIPHER SYSTEMS, INC. 
00C028	JASCO CORPORATION 
00C029	Nexans Deutschland GmbH - ANS 
00C02A	OHKURA ELECTRIC CO., LTD. 
00C02B	GERLOFF GESELLSCHAFT FUR 
00C02C	CENTRUM COMMUNICATIONS, INC. 
00C02D	FUJI PHOTO FILM CO., LTD. 
00C02E	NETWIZ 
00C02F	OKUMA CORPORATION 
00C030	INTEGRATED ENGINEERING B. V. 
00C031	DESIGN RESEARCH SYSTEMS, INC. 
00C032	I-CUBED LIMITED 
00C033	TELEBIT COMMUNICATIONS APS 
00C034	TRANSACTION NETWORK 
00C035	QUINTAR COMPANY 
00C036	RAYTECH ELECTRONIC CORP. 
00C037	DYNATEM 
00C038	RASTER IMAGE PROCESSING SYSTEM 
00C039	Teridian Semiconductor Corporation 
00C03A	MEN-MIKRO ELEKTRONIK GMBH 
00C03B	MULTIACCESS COMPUTING CORP. 
00C03C	TOWER TECH S.R.L. 
00C03D	WIESEMANN  THEIS GMBH 
00C03E	FA. GEBR. HELLER GMBH 
00C03F	STORES AUTOMATED SYSTEMS, INC. 
00C040	ECCI 
00C041	DIGITAL TRANSMISSION SYSTEMS 
00C042	DATALUX CORP. 
00C043	STRATACOM 
00C044	EMCOM CORPORATION 
00C045	ISOLATION SYSTEMS, LTD. 
00C046	Blue Chip Technology Ltd 
00C047	UNIMICRO SYSTEMS, INC. 
00C048	BAY TECHNICAL ASSOCIATES 
00C049	U.S. ROBOTICS, INC. 
00C04A	GROUP 2000 AG 
00C04B	CREATIVE MICROSYSTEMS 
00C04C	DEPARTMENT OF FOREIGN AFFAIRS 
00C04D	MITEC, INC. 
00C04E	COMTROL CORPORATION 
00C04F	Dell Inc. 
00C050	TOYO DENKI SEIZO K.K. 
00C051	ADVANCED INTEGRATION RESEARCH 
00C052	BURR-BROWN 
00C053	Aspect Software Inc. 
00C054	NETWORK PERIPHERALS, LTD. 
00C055	MODULAR COMPUTING TECHNOLOGIES 
00C056	SOMELEC 
00C057	MYCO ELECTRONICS 
00C058	DATAEXPERT CORP. 
00C059	DENSO CORPORATION 
00C05A	SEMAPHORE COMMUNICATIONS CORP. 
00C05B	NETWORKS NORTHWEST, INC. 
00C05C	ELONEX PLC 
00C05D	LN TECHNOLOGIES 
00C05E	VARI-LITE, INC. 
00C05F	FINE-PAL COMPANY LIMITED 
00C060	ID SCANDINAVIA AS 
00C061	SOLECTEK CORPORATION 
00C062	IMPULSE TECHNOLOGY 
00C063	MORNING STAR TECHNOLOGIES, INC 
00C064	GENERAL DATACOMM IND. INC. 
00C065	SCOPE COMMUNICATIONS, INC. 
00C066	DOCUPOINT, INC. 
00C067	UNITED BARCODE INDUSTRIES 
00C068	HME Clear-Com LTD. 
00C069	Axxcelera Broadband Wireless 
00C06A	ZAHNER-ELEKTRIK GMBH  CO. KG 
00C06B	OSI PLUS CORPORATION 
00C06C	SVEC COMPUTER CORP. 
00C06D	BOCA RESEARCH, INC. 
00C06E	HAFT TECHNOLOGY, INC. 
00C06F	KOMATSU LTD. 
00C070	SECTRA SECURE-TRANSMISSION AB 
00C071	AREANEX COMMUNICATIONS, INC. 
00C072	KNX LTD. 
00C073	XEDIA CORPORATION 
00C074	TOYODA AUTOMATIC LOOM 
00C075	XANTE CORPORATION 
00C076	I-DATA INTERNATIONAL A-S 
00C077	DAEWOO TELECOM LTD. 
00C078	COMPUTER SYSTEMS ENGINEERING 
00C079	FONSYS CO.,LTD. 
00C07A	PRIVA B.V. 
00C07B	ASCEND COMMUNICATIONS, INC. 
00C07C	HIGHTECH INFORMATION 
00C07D	RISC DEVELOPMENTS LTD. 
00C07E	KUBOTA CORPORATION ELECTRONIC 
00C07F	NUPON COMPUTING CORP. 
00C080	NETSTAR, INC. 
00C081	METRODATA LTD. 
00C082	MOORE PRODUCTS CO. 
00C083	TRACE MOUNTAIN PRODUCTS, INC. 
00C084	DATA LINK CORP. LTD. 
00C085	ELECTRONICS FOR IMAGING, INC. 
00C086	THE LYNK CORPORATION 
00C087	UUNET TECHNOLOGIES, INC. 
00C088	EKF ELEKTRONIK GMBH 
00C089	TELINDUS DISTRIBUTION 
00C08A	Lauterbach GmbH 
00C08B	RISQ MODULAR SYSTEMS, INC. 
00C08C	PERFORMANCE TECHNOLOGIES, INC. 
00C08D	TRONIX PRODUCT DEVELOPMENT 
00C08E	NETWORK INFORMATION TECHNOLOGY 
00C08F	Panasonic Electric Works Co., Ltd. 
00C090	PRAIM S.R.L. 
00C091	JABIL CIRCUIT, INC. 
00C092	MENNEN MEDICAL INC. 
00C093	ALTA RESEARCH CORP. 
00C094	VMX INC. 
00C095	ZNYX 
00C096	TAMURA CORPORATION 
00C097	ARCHIPEL SA 
00C098	CHUNTEX ELECTRONIC CO., LTD. 
00C099	YOSHIKI INDUSTRIAL CO.,LTD. 
00C09A	PHOTONICS CORPORATION 
00C09B	RELIANCE COMMTEC, R-TEC 
00C09C	HIOKI E.E. CORPORATION 
00C09D	DISTRIBUTED SYSTEMS INTL, INC 
00C09E	CACHE COMPUTERS, INC. 
00C09F	QUANTA COMPUTER, INC. 
00C0A0	ADVANCE MICRO RESEARCH, INC. 
00C0A1	TOKYO DENSHI SEKEI CO. 
00C0A2	INTERMEDIUM AS 
00C0A3	DUAL ENTERPRISES CORPORATION 
00C0A4	UNIGRAF OY 
00C0A5	DICKENS DATA SYSTEMS 
00C0A6	EXICOM AUSTRALIA PTY. LTD 
00C0A7	SEEL LTD. 
00C0A8	GVC CORPORATION 
00C0A9	BARRON MCCANN LTD. 
00C0AA	SILICON VALLEY COMPUTER 
00C0AB	Telco Systems, Inc. 
00C0AC	GAMBIT COMPUTER COMMUNICATIONS 
00C0AD	MARBEN COMMUNICATION SYSTEMS 
00C0AE	TOWERCOM CO. INC. DBA PC HOUSE 
00C0AF	TEKLOGIX INC. 
00C0B0	GCC TECHNOLOGIES,INC. 
00C0B1	GENIUS NET CO. 
00C0B2	NORAND CORPORATION 
00C0B3	COMSTAT DATACOMM CORPORATION 
00C0B4	MYSON TECHNOLOGY, INC. 
00C0B5	CORPORATE NETWORK SYSTEMS,INC. 
00C0B6	Overland Storage, Inc. 
00C0B7	AMERICAN POWER CONVERSION CORP 
00C0B8	FRASERS HILL LTD. 
00C0B9	FUNK SOFTWARE, INC. 
00C0BA	NETVANTAGE 
00C0BB	FORVAL CREATIVE, INC. 
00C0BC	TELECOM AUSTRALIACSSC 
00C0BD	INEX TECHNOLOGIES, INC. 
00C0BE	ALCATEL - SEL 
00C0BF	TECHNOLOGY CONCEPTS, LTD. 
00C0C0	SHORE MICROSYSTEMS, INC. 
00C0C1	QUADGRAPHICS, INC. 
00C0C2	INFINITE NETWORKS LTD. 
00C0C3	ACUSON COMPUTED SONOGRAPHY 
00C0C4	COMPUTER OPERATIONAL 
00C0C5	SID INFORMATICA 
00C0C6	PERSONAL MEDIA CORP. 
00C0C7	SPARKTRUM MICROSYSTEMS, INC. 
00C0C8	MICRO BYTE PTY. LTD. 
00C0C9	ELSAG BAILEY PROCESS 
00C0CA	ALFA, INC. 
00C0CB	CONTROL TECHNOLOGY CORPORATION 
00C0CC	TELESCIENCES CO SYSTEMS, INC. 
00C0CD	COMELTA, S.A. 
00C0CE	CEI SYSTEMS  ENGINEERING PTE 
00C0CF	IMATRAN VOIMA OY 
00C0D0	RATOC SYSTEM INC. 
00C0D1	COMTREE TECHNOLOGY CORPORATION 
00C0D2	SYNTELLECT, INC. 
00C0D3	OLYMPUS IMAGE SYSTEMS, INC. 
00C0D4	AXON NETWORKS, INC. 
00C0D5	Werbeagentur Jürgen Siebert 
00C0D6	J1 SYSTEMS, INC. 
00C0D7	TAIWAN TRADING CENTER DBA 
00C0D8	UNIVERSAL DATA SYSTEMS 
00C0D9	QUINTE NETWORK CONFIDENTIALITY 
00C0DA	NICE SYSTEMS LTD. 
00C0DB	IPC CORPORATION (PTE) LTD. 
00C0DC	EOS TECHNOLOGIES, INC. 
00C0DD	QLogic Corporation 
00C0DE	ZCOMM, INC. 
00C0DF	KYE Systems Corp. 
00C0E0	DSC COMMUNICATION CORP. 
00C0E1	SONIC SOLUTIONS 
00C0E2	CALCOMP, INC. 
00C0E3	OSITECH COMMUNICATIONS, INC. 
00C0E4	SIEMENS BUILDING 
00C0E5	GESPAC, S.A. 
00C0E6	Verilink Corporation 
00C0E7	FIBERDATA AB 
00C0E8	PLEXCOM, INC. 
00C0E9	OAK SOLUTIONS, LTD. 
00C0EA	ARRAY TECHNOLOGY LTD. 
00C0EB	SEH COMPUTERTECHNIK GMBH 
00C0EC	DAUPHIN TECHNOLOGY 
00C0ED	US ARMY ELECTRONIC 
00C0EE	KYOCERA CORPORATION 
00C0EF	ABIT CORPORATION 
00C0F0	KINGSTON TECHNOLOGY CORP. 
00C0F1	SHINKO ELECTRIC CO., LTD. 
00C0F2	TRANSITION NETWORKS 
00C0F3	NETWORK COMMUNICATIONS CORP. 
00C0F4	INTERLINK SYSTEM CO., LTD. 
00C0F5	METACOMP, INC. 
00C0F6	CELAN TECHNOLOGY INC. 
00C0F7	ENGAGE COMMUNICATION, INC. 
00C0F8	ABOUT COMPUTING INC. 
00C0F9	Artesyn Embedded Technologies 
00C0FA	CANARY COMMUNICATIONS, INC. 
00C0FB	ADVANCED TECHNOLOGY LABS 
00C0FC	ELASTIC REALITY, INC. 
00C0FD	PROSUM 
00C0FE	APTEC COMPUTER SYSTEMS, INC. 
00C0FF	DOT HILL SYSTEMS CORPORATION 
00C14F	DDL Co,.ltd. 
00C164	Cisco Systems, Inc 
00C1B1	Cisco Systems, Inc 
00C2C6	Intel Corporate 
00C3F4	Samsung Electronics Co.,Ltd 
00C5DB	Datatech Sistemas Digitales Avanzados SL 
00C610	Apple, Inc. 
00C88B	Cisco Systems, Inc 
00CAE5	Cisco Systems, Inc 
00CB00	Private 
00CB51	Sagemcom Broadband SAS 
00CBB4	SHENZHEN ATEKO PHOTOELECTRICITY CO.,LTD 
00CBBD	Cambridge Broadband Networks Ltd. 
00CC3F	Universal Electronics, Inc. 
00CCFC	Cisco Systems, Inc 
00CD90	MAS Elektronik AG 
00CDFE	Apple, Inc. 
00CF1C	Communication Machinery Corporation 
00CFC0	China Mobile Group Device Co.,Ltd. 
00D000	FERRAN SCIENTIFIC, INC. 
00D001	VST TECHNOLOGIES, INC. 
00D002	DITECH CORPORATION 
00D003	COMDA ENTERPRISES CORP. 
00D004	PENTACOM LTD. 
00D005	ZHS ZEITMANAGEMENTSYSTEME 
00D006	Cisco Systems, Inc 
00D007	MIC ASSOCIATES, INC. 
00D008	MACTELL CORPORATION 
00D009	HSING TECH. ENTERPRISE CO. LTD 
00D00A	LANACCESS TELECOM S.A. 
00D00B	RHK TECHNOLOGY, INC. 
00D00C	SNIJDER MICRO SYSTEMS 
00D00D	MICROMERITICS INSTRUMENT 
00D00E	PLURIS, INC. 
00D00F	SPEECH DESIGN GMBH 
00D010	CONVERGENT NETWORKS, INC. 
00D011	PRISM VIDEO, INC. 
00D012	GATEWORKS CORP. 
00D013	PRIMEX AEROSPACE COMPANY 
00D014	ROOT, INC. 
00D015	UNIVEX MICROTECHNOLOGY CORP. 
00D016	SCM MICROSYSTEMS, INC. 
00D017	SYNTECH INFORMATION CO., LTD. 
00D018	QWES. COM, INC. 
00D019	DAINIPPON SCREEN CORPORATE 
00D01A	URMET  TLC S.P.A. 
00D01B	MIMAKI ENGINEERING CO., LTD. 
00D01C	SBS TECHNOLOGIES, 
00D01D	FURUNO ELECTRIC CO., LTD. 
00D01E	PINGTEL CORP. 
00D01F	Senetas Security 
00D020	AIM SYSTEM, INC. 
00D021	REGENT ELECTRONICS CORP. 
00D022	INCREDIBLE TECHNOLOGIES, INC. 
00D023	INFORTREND TECHNOLOGY, INC. 
00D024	Cognex Corporation 
00D025	XROSSTECH, INC. 
00D026	HIRSCHMANN AUSTRIA GMBH 
00D027	APPLIED AUTOMATION, INC. 
00D028	Harmonic, Inc 
00D029	WAKEFERN FOOD CORPORATION 
00D02A	Voxent Systems Ltd. 
00D02B	JETCELL, INC. 
00D02C	CAMPBELL SCIENTIFIC, INC. 
00D02D	ADEMCO 
00D02E	COMMUNICATION AUTOMATION CORP. 
00D02F	VLSI TECHNOLOGY INC. 
00D030	Safetran Systems Corp 
00D031	INDUSTRIAL LOGIC CORPORATION 
00D032	YANO ELECTRIC CO., LTD. 
00D033	DALIAN DAXIAN NETWORK 
00D034	ORMEC SYSTEMS CORP. 
00D035	BEHAVIOR TECH. COMPUTER CORP. 
00D036	TECHNOLOGY ATLANTA CORP. 
00D037	Pace France 
00D038	FIVEMERE, LTD. 
00D039	UTILICOM, INC. 
00D03A	ZONEWORX, INC. 
00D03B	VISION PRODUCTS PTY. LTD. 
00D03C	Vieo, Inc. 
00D03D	GALILEO TECHNOLOGY, LTD. 
00D03E	ROCKETCHIPS, INC. 
00D03F	AMERICAN COMMUNICATION 
00D040	SYSMATE CO., LTD. 
00D041	AMIGO TECHNOLOGY CO., LTD. 
00D042	MAHLO GMBH  CO. UG 
00D043	ZONAL RETAIL DATA SYSTEMS 
00D044	ALIDIAN NETWORKS, INC. 
00D045	KVASER AB 
00D046	DOLBY LABORATORIES, INC. 
00D047	XN TECHNOLOGIES 
00D048	ECTON, INC. 
00D049	IMPRESSTEK CO., LTD. 
00D04A	PRESENCE TECHNOLOGY GMBH 
00D04B	LA CIE GROUP S.A. 
00D04C	EUROTEL TELECOM LTD. 
00D04D	DIV OF RESEARCH  STATISTICS 
00D04E	LOGIBAG 
00D04F	BITRONICS, INC. 
00D050	ISKRATEL 
00D051	O2 MICRO, INC. 
00D052	ASCEND COMMUNICATIONS, INC. 
00D053	CONNECTED SYSTEMS 
00D054	SAS INSTITUTE INC. 
00D055	KATHREIN-WERKE KG 
00D056	SOMAT CORPORATION 
00D057	ULTRAK, INC. 
00D058	Cisco Systems, Inc 
00D059	AMBIT MICROSYSTEMS CORP. 
00D05A	SYMBIONICS, LTD. 
00D05B	ACROLOOP MOTION CONTROL 
00D05C	KATHREIN TechnoTrend GmbH 
00D05D	INTELLIWORXX, INC. 
00D05E	STRATABEAM TECHNOLOGY, INC. 
00D05F	VALCOM, INC. 
00D060	Panasonic Europe Ltd. 
00D061	TREMON ENTERPRISES CO., LTD. 
00D062	DIGIGRAM 
00D063	Cisco Systems, Inc 
00D064	MULTITEL 
00D065	TOKO ELECTRIC 
00D066	WINTRISS ENGINEERING CORP. 
00D067	CAMPIO COMMUNICATIONS 
00D068	IWILL CORPORATION 
00D069	TECHNOLOGIC SYSTEMS 
00D06A	LINKUP SYSTEMS CORPORATION 
00D06B	SR TELECOM INC. 
00D06C	SHAREWAVE, INC. 
00D06D	ACRISON, INC. 
00D06E	TRENDVIEW RECORDERS LTD. 
00D06F	KMC CONTROLS 
00D070	LONG WELL ELECTRONICS CORP. 
00D071	ECHELON CORP. 
00D072	BROADLOGIC 
00D073	ACN ADVANCED COMMUNICATIONS 
00D074	TAQUA SYSTEMS, INC. 
00D075	ALARIS MEDICAL SYSTEMS, INC. 
00D076	Bank of America 
00D077	LUCENT TECHNOLOGIES 
00D078	Eltex of Sweden AB 
00D079	Cisco Systems, Inc 
00D07A	AMAQUEST COMPUTER CORP. 
00D07B	COMCAM INTERNATIONAL INC 
00D07C	KOYO ELECTRONICS INC. CO.,LTD. 
00D07D	COSINE COMMUNICATIONS 
00D07E	KEYCORP LTD. 
00D07F	STRATEGY  TECHNOLOGY, LIMITED 
00D080	EXABYTE CORPORATION 
00D081	RTD Embedded Technologies, Inc. 
00D082	IOWAVE INC. 
00D083	INVERTEX, INC. 
00D084	NEXCOMM SYSTEMS, INC. 
00D085	OTIS ELEVATOR COMPANY 
00D086	FOVEON, INC. 
00D087	MICROFIRST INC. 
00D088	ARRIS Group, Inc. 
00D089	DYNACOLOR, INC. 
00D08A	PHOTRON USA 
00D08B	ADVA Optical Networking Ltd. 
00D08C	GENOA TECHNOLOGY, INC. 
00D08D	PHOENIX GROUP, INC. 
00D08E	Grass Valley, A Belden Brand 
00D08F	ARDENT TECHNOLOGIES, INC. 
00D090	Cisco Systems, Inc 
00D091	SMARTSAN SYSTEMS, INC. 
00D092	GLENAYRE WESTERN MULTIPLEX 
00D093	TQ - COMPONENTS GMBH 
00D094	Seeion Control LLC 
00D095	Alcatel-Lucent, Enterprise Business Group 
00D096	3COM EUROPE LTD. 
00D097	Cisco Systems, Inc 
00D098	Photon Dynamics Canada Inc. 
00D099	Elcard Wireless Systems Oy 
00D09A	FILANET CORPORATION 
00D09B	SPECTEL LTD. 
00D09C	KAPADIA COMMUNICATIONS 
00D09D	VERIS INDUSTRIES 
00D09E	2Wire Inc 
00D09F	NOVTEK TEST SYSTEMS 
00D0A0	MIPS DENMARK 
00D0A1	OSKAR VIERLING GMBH  CO. KG 
00D0A2	INTEGRATED DEVICE 
00D0A3	VOCAL DATA, INC. 
00D0A4	ALANTRO COMMUNICATIONS 
00D0A5	AMERICAN ARIUM 
00D0A6	LANBIRD TECHNOLOGY CO., LTD. 
00D0A7	TOKYO SOKKI KENKYUJO CO., LTD. 
00D0A8	NETWORK ENGINES, INC. 
00D0A9	SHINANO KENSHI CO., LTD. 
00D0AA	CHASE COMMUNICATIONS 
00D0AB	DELTAKABEL TELECOM CV 
00D0AC	Commscope, Inc 
00D0AD	TL INDUSTRIES 
00D0AE	ORESIS COMMUNICATIONS, INC. 
00D0AF	CUTLER-HAMMER, INC. 
00D0B0	BITSWITCH LTD. 
00D0B1	OMEGA ELECTRONICS SA 
00D0B2	XIOTECH CORPORATION 
00D0B3	DRS Technologies Canada Ltd 
00D0B4	KATSUJIMA CO., LTD. 
00D0B5	IPricot formerly DotCom 
00D0B6	CRESCENT NETWORKS, INC. 
00D0B7	Intel Corporation 
00D0B8	Iomega Corporation 
00D0B9	MICROTEK INTERNATIONAL, INC. 
00D0BA	Cisco Systems, Inc 
00D0BB	Cisco Systems, Inc 
00D0BC	Cisco Systems, Inc 
00D0BD	Lattice Semiconductor Corp. (LPA) 
00D0BE	EMUTEC INC. 
00D0BF	PIVOTAL TECHNOLOGIES 
00D0C0	Cisco Systems, Inc 
00D0C1	HARMONIC DATA SYSTEMS, LTD. 
00D0C2	BALTHAZAR TECHNOLOGY AB 
00D0C3	VIVID TECHNOLOGY PTE, LTD. 
00D0C4	TERATECH CORPORATION 
00D0C5	COMPUTATIONAL SYSTEMS, INC. 
00D0C6	THOMAS  BETTS CORP. 
00D0C7	PATHWAY, INC. 
00D0C8	Prevas AS 
00D0C9	ADVANTECH CO., LTD. 
00D0CA	Intrinsyc Software International Inc. 
00D0CB	DASAN CO., LTD. 
00D0CC	TECHNOLOGIES LYRE INC. 
00D0CD	ATAN TECHNOLOGY INC. 
00D0CE	ASYST ELECTRONIC 
00D0CF	MORETON BAY 
00D0D0	ZHONGXING TELECOM LTD. 
00D0D1	Sycamore Networks 
00D0D2	EPILOG CORPORATION 
00D0D3	Cisco Systems, Inc 
00D0D4	V-BITS, INC. 
00D0D5	GRUNDIG AG 
00D0D6	AETHRA TELECOMUNICAZIONI 
00D0D7	B2C2, INC. 
00D0D8	3Com Corporation 
00D0D9	DEDICATED MICROCOMPUTERS 
00D0DA	TAICOM DATA SYSTEMS CO., LTD. 
00D0DB	MCQUAY INTERNATIONAL 
00D0DC	MODULAR MINING SYSTEMS, INC. 
00D0DD	SUNRISE TELECOM, INC. 
00D0DE	PHILIPS MULTIMEDIA NETWORK 
00D0DF	KUZUMI ELECTRONICS, INC. 
00D0E0	DOOIN ELECTRONICS CO. 
00D0E1	AVIONITEK ISRAEL INC. 
00D0E2	MRT MICRO, INC. 
00D0E3	ELE-CHEM ENGINEERING CO., LTD. 
00D0E4	Cisco Systems, Inc 
00D0E5	SOLIDUM SYSTEMS CORP. 
00D0E6	IBOND INC. 
00D0E7	VCON TELECOMMUNICATION LTD. 
00D0E8	MAC SYSTEM CO., LTD. 
00D0E9	Advantage Century Telecommunication Corp. 
00D0EA	NEXTONE COMMUNICATIONS, INC. 
00D0EB	LIGHTERA NETWORKS, INC. 
00D0EC	NAKAYO TELECOMMUNICATIONS,INC 
00D0ED	XIOX 
00D0EE	DICTAPHONE CORPORATION 
00D0EF	IGT 
00D0F0	CONVISION TECHNOLOGY GMBH 
00D0F1	SEGA ENTERPRISES, LTD. 
00D0F2	MONTEREY NETWORKS 
00D0F3	SOLARI DI UDINE SPA 
00D0F4	CARINTHIAN TECH INSTITUTE 
00D0F5	ORANGE MICRO, INC. 
00D0F6	Alcatel Canada 
00D0F7	NEXT NETS CORPORATION 
00D0F8	FUJIAN STAR TERMINAL 
00D0F9	ACUTE COMMUNICATIONS CORP. 
00D0FA	Thales e-Security Ltd. 
00D0FB	TEK MICROSYSTEMS, INCORPORATED 
00D0FC	GRANITE MICROSYSTEMS 
00D0FD	OPTIMA TELE.COM, INC. 
00D0FE	ASTRAL POINT 
00D0FF	Cisco Systems, Inc 
00D11C	ACETEL 
00D318	SPG Controls 
00D38D	Hotel Technology Next Generation 
00D632	GE Energy 
00D6FE	Cisco Systems, Inc 
00D78F	Cisco Systems, Inc 
00D861	Micro-Star INTL CO., LTD. 
00D9D1	Sony Computer Entertainment Inc. 
00DA55	Cisco Systems, Inc 
00DB1E	Albedo Telecom SL 
00DB45	THAMWAY CO.,LTD. 
00DB70	Apple, Inc. 
00DBDF	Intel Corporate 
00DD00	UNGERMANN-BASS INC. 
00DD01	UNGERMANN-BASS INC. 
00DD02	UNGERMANN-BASS INC. 
00DD03	UNGERMANN-BASS INC. 
00DD04	UNGERMANN-BASS INC. 
00DD05	UNGERMANN-BASS INC. 
00DD06	UNGERMANN-BASS INC. 
00DD07	UNGERMANN-BASS INC. 
00DD08	UNGERMANN-BASS INC. 
00DD09	UNGERMANN-BASS INC. 
00DD0A	UNGERMANN-BASS INC. 
00DD0B	UNGERMANN-BASS INC. 
00DD0C	UNGERMANN-BASS INC. 
00DD0D	UNGERMANN-BASS INC. 
00DD0E	UNGERMANN-BASS INC. 
00DD0F	UNGERMANN-BASS INC. 
00DEFB	Cisco Systems, Inc 
00E000	FUJITSU LIMITED 
